Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X,Pink2_Y
11.1924,1.648,2.1085,2.9226,1.2143,1.8126,2.3486,1.35,1.35,3.7578,1.0956,0.4088,0.4588,1.4171,0.9019,0.6655
11.2924,0.7583,0.812,2.5654,0.1408,1.7472,2.3633,0.659,0.659,3.9397,0.2677,0.3375,1.6651,1.2421,0.7451,0.6979
11.3923,0.4158,0.9225,1.5481,0.708,1.5125,1.466,0.8838,0.8838,3.6727,0.7917,0.4031,2.343,0.7817,0.9148,1.0938
11.4922,1.0177,1.1533,1.3212,1.6869,0.9745,0.7628,1.7534,1.7534,3.2282,0.9104,0.1187,1.9203,1.3924,1.4318,1.2015
11.5922,0.8147,0.5618,1.8836,2.4139,0.7347,0.9522,2.123,2.123,3.1603,1.448,0.8448,1.5942,1.7162,1.2931,0.7862
11.6921,1.4851,1.5625,1.705,2.3519,1.1976,1.2246,2.125,2.125,2.6472,0.6631,1.2287,0.58,0.5031,0.8705,1.091
11.792,0.949,0.999,0.7346,2.1311,1.7205,1.8681,1.9168,1.9168,3.1175,0.7245,1.0119,0.0551,0.9749,1.1777,2.0216
11.892,0.5765,0.9326,1.0073,0.9927,1.7129,2.2629,0.9801,0.9801,3.0985,0.2146,0.5002,1.2882,1.2438,1.1497,2.4015
11.9919,0.7192,2.1178,1.9224,0.5194,1.5806,2.0541,0.5758,0.5758,3.8052,0.693,0.6593,1.9395,1.1996,0.569,2.1607
12.0918,0.6837,1.3722,2.0293,1.456,1.1295,1.3074,1.469,1.469,4.0053,0.6242,0.8396,1.844,1.4728,0.3977,1.8723
12.1918,1.1526,0.3988,1.6387,2.0755,0.5649,0.6287,1.7623,1.7623,3.9067,1.0049,0.4862,2.0359,1.9377,0.3949,1.4924
12.2917,0.8074,1.3829,2.0104,2.1982,0.7172,1.2195,1.9902,1.9902,3.7298,0.4195,0.213,0.4182,0.7869,0.1157,0.6152
12.3916,1.5068,1.794,2.8134,2.3121,1.3661,1.7873,1.9277,1.9277,2.5579,0.2314,0.7656,0.4476,0.5719,0.4073,0.5115
12.4916,1.3234,2.7259,3.0232,1.5914,1.5788,1.6552,1.0345,1.0345,3.02,0.3308,0.7785,1.2758,1.2147,0.4537,1.0897
12.5915,0.6188,2.7695,2.5882,0.4894,1.7469,1.5258,0.5586,0.5586,2.6621,0.3811,0.4508,2.2703,1.2956,0.5223,1.0477
12.6914,1.3464,1.2869,2.287,1.2833,1.3427,1.3935,1.3399,1.3399,2.1436,0.3911,0.8227,2.2484,1.5283,0.8625,0.4584
12.7914,1.1019,0.6658,2.5726,1.681,0.7648,0.8446,1.7952,1.7952,1.6602,0.9259,1.1152,1.8102,1.8851,0.8748,0.5468
